Market_Size,Market_Rank,Item,Year,Attendance
Big,1,New York Knicks,2001,810283.00
Big,1,New York Knicks,2002,810283.00
Big,1,New York Knicks,2003,779479.00
Big,1,New York Knicks,2004,785739.00
Big,1,New York Knicks,2005,800144.00
Big,1,New York Knicks,2006,776176.00
Big,1,New York Knicks,2007,770617.00
Big,1,New York Knicks,2008,783739.00
Big,1,New York Knicks,2009,790801.00
Big,1,New York Knicks,2010,799550.00
Big,1,New York Knicks,2011,808879.00
Big,1,New York Knicks,2012,652179.00
Big,1,New York Knicks,2013,780353.00
Big,1,New York Knicks,2014,812292.00
Big,1,New York Knicks,2015,812292.00
Big,1,New York Knicks,2016,812292.00
Big,1,New York Knicks,2017,810741.00
Big,2,Brooklyn Nets,2001,566077.00
Big,2,Brooklyn Nets,2002,564194.00
Big,2,Brooklyn Nets,2003,622574.00
Big,2,Brooklyn Nets,2004,613051.00
Big,2,Brooklyn Nets,2005,618677.00
Big,2,Brooklyn Nets,2006,691543.00
Big,2,Brooklyn Nets,2007,678885.00
Big,2,Brooklyn Nets,2008,641921.00
Big,2,Brooklyn Nets,2009,621062.00
Big,2,Brooklyn Nets,2010,537230.00
Big,2,Brooklyn Nets,2011,581378.00
Big,2,Brooklyn Nets,2012,460719.00
Big,2,Brooklyn Nets,2013,704702.00
Big,2,Brooklyn Nets,2014,707331.00
Big,2,Brooklyn Nets,2015,698529.00
Big,2,Brooklyn Nets,2016,620142.00
Big,2,Brooklyn Nets,2017,632608.00
Big,3,Los Angeles Lakers,2001,776336.00
Big,3,Los Angeles Lakers,2002,778877.00
Big,3,Los Angeles Lakers,2003,777888.00
Big,3,Los Angeles Lakers,2004,777757.00
Big,3,Los Angeles Lakers,2005,770494.00
Big,3,Los Angeles Lakers,2006,774189.00
Big,3,Los Angeles Lakers,2007,778415.00
Big,3,Los Angeles Lakers,2008,778877.00
Big,3,Los Angeles Lakers,2009,778877.00
Big,3,Los Angeles Lakers,2010,778877.00
Big,3,Los Angeles Lakers,2011,778877.00
Big,3,Los Angeles Lakers,2012,626901.00
Big,3,Los Angeles Lakers,2013,778877.00
Big,3,Los Angeles Lakers,2014,771974.00
Big,3,Los Angeles Lakers,2015,768244.00
Big,3,Los Angeles Lakers,2016,778877.00
Big,3,Los Angeles Lakers,2017,776917.00
Big,4,Los Angeles Clippers,2001,599448.00
Big,4,Los Angeles Clippers,2002,740185.00
Big,4,Los Angeles Clippers,2003,706471.00
Big,4,Los Angeles Clippers,2004,665396.00
Big,4,Los Angeles Clippers,2005,696181.00
Big,4,Los Angeles Clippers,2006,712409.00
Big,4,Los Angeles Clippers,2007,755261.00
