Market_Size,Market_Rank,Item,Year,Valuation
Big,1,New York Knicks,2001,395
Big,1,New York Knicks,2002,392
Big,1,New York Knicks,2003,398
Big,1,New York Knicks,2004,401
Big,1,New York Knicks,2005,494
Big,1,New York Knicks,2006,543
Big,1,New York Knicks,2007,592
Big,1,New York Knicks,2008,608
Big,1,New York Knicks,2009,613
Big,1,New York Knicks,2010,586
Big,1,New York Knicks,2011,655
Big,1,New York Knicks,2012,780
Big,1,New York Knicks,2013,1100
Big,1,New York Knicks,2014,1400
Big,1,New York Knicks,2015,2500
Big,1,New York Knicks,2016,3000
Big,1,New York Knicks,2017,3300
Big,2,Brooklyn Nets,2001,179
Big,2,Brooklyn Nets,2002,169
Big,2,Brooklyn Nets,2003,218
Big,2,Brooklyn Nets,2004,244
Big,2,Brooklyn Nets,2005,296
Big,2,Brooklyn Nets,2006,271
Big,2,Brooklyn Nets,2007,325
Big,2,Brooklyn Nets,2008,338
Big,2,Brooklyn Nets,2009,295
Big,2,Brooklyn Nets,2010,269
Big,2,Brooklyn Nets,2011,312
Big,2,Brooklyn Nets,2012,357
Big,2,Brooklyn Nets,2013,530
Big,2,Brooklyn Nets,2014,780
Big,2,Brooklyn Nets,2015,1500
Big,2,Brooklyn Nets,2016,1700
Big,2,Brooklyn Nets,2017,1800
Big,3,Los Angeles Lakers,2001,390
Big,3,Los Angeles Lakers,2002,426
Big,3,Los Angeles Lakers,2003,426
Big,3,Los Angeles Lakers,2004,447
Big,3,Los Angeles Lakers,2005,510
Big,3,Los Angeles Lakers,2006,529
Big,3,Los Angeles Lakers,2007,568
Big,3,Los Angeles Lakers,2008,560
Big,3,Los Angeles Lakers,2009,584
Big,3,Los Angeles Lakers,2010,607
Big,3,Los Angeles Lakers,2011,643
Big,3,Los Angeles Lakers,2012,900
Big,3,Los Angeles Lakers,2013,1000
Big,3,Los Angeles Lakers,2014,1350
Big,3,Los Angeles Lakers,2015,2600
Big,3,Los Angeles Lakers,2016,2700
Big,3,Los Angeles Lakers,2017,3000
Big,4,Los Angeles Clippers,2001,154
Big,4,Los Angeles Clippers,2002,170
Big,4,Los Angeles Clippers,2003,205
Big,4,Los Angeles Clippers,2004,208
Big,4,Los Angeles Clippers,2005,224
Big,4,Los Angeles Clippers,2006,248
Big,4,Los Angeles Clippers,2007,285
Big,4,Los Angeles Clippers,2008,294
Big,4,Los Angeles Clippers,2009,297
Big,4,Los Angeles Clippers,2010,295
Big,4,Los Angeles Clippers,2011,305
Big,4,Los Angeles Clippers,2012,324
Big,4,Los Angeles Clippers,2013,430
Big,4,Los Angeles Clippers,2014,575
Big,4,Los Angeles Clippers,2015,1600
Big,4,Los Angeles Clippers,2016,2000
Big,4,Los Angeles Clippers,2017,2000
Big,5,Chicago Bulls,2001,314
Big,5,Chicago Bulls,2002,329
Big,5,Chicago Bulls,2003,323
Big,5,Chicago Bulls,2004,356
Big,5,Chicago Bulls,2005,368
Big,5,Chicago Bulls,2006,409
Big,5,Chicago Bulls,2007,461
Big,5,Chicago Bulls,2008,500
Big,5,Chicago Bulls,2009,504
Big,5,Chicago Bulls,2010,511
Big,5,Chicago Bulls,2011,511
Big,5,Chicago Bulls,2012,600
Big,5,Chicago Bulls,2013,800
