Population,Per Capita Income,Average Rent,City,Median Household Income
1303.0,19439.0,527.0,AARONSBURG,55947.0
53225.0,18245.4,366.8,ABBEVILLE,40417.4
641.0,19646.0,438.0,ABBOT,36121.0
2830.0,24130.0,433.0,ABBOTSFORD,45609.0
1021.0,26652.0,471.0,ABBOTT,57361.0
3501.0,24933.0,751.0,ABBOTTSTOWN,61607.0
280.0,28241.0,,ABBYVILLE,32232.0
360.0,27776.0,,ABELL,58472.0
92.0,37849.0,192.0,ABERCROMBIE,82500.0
106207.0,20837.1,499.9,ABERDEEN,41448.9
2198.0,27655.0,1572.0,ABERDEEN PROVING GROUND,75078.0
3898.0,20720.0,498.0,ABERNATHY,50690.0
94.0,32141.0,,ABIE,84375.0
136870.0,19708.0,539.3,ABILENE,45598.7
59898.0,28838.5,579.8,ABINGDON,54930.5
33124.0,33441.0,974.0,ABINGTON,73370.0
690.0,29389.0,,ABIQUIU,78583.0
9243.0,25613.0,704.0,ABITA SPRINGS,60976.0
2758.0,29360.0,634.0,ABRAMS,64450.0
18.0,,,ABSARAKA,
1572.0,31389.0,477.0,ABSAROKEE,44550.0
37619.0,27604.0,1004.5,ABSECON,60339.0
7395.0,31191.0,1043.0,ACAMPO,54000.0
2044.0,25189.0,639.0,ACCIDENT,55278.0
9923.0,44726.0,1094.0,ACCOKEEK,123851.0
1566.0,23944.0,385.0,ACCOMAC,41944.0
3435.0,34997.0,933.0,ACCORD,67639.0
818.0,14908.0,407.0,ACCOVILLE,33024.0
19.0,,,ACE,
655.0,18338.0,404.0,ACHILLE,36058.0
628.0,24667.0,484.0,ACKERLY,52188.0
4073.0,17296.0,267.0,ACKERMAN,30292.0
2339.0,25661.0,289.0,ACKLEY,52548.0
825.0,20904.0,440.0,ACKWORTH,46908.0
4344.0,33622.0,421.0,ACME,44708.5
273.0,14767.0,,ACOSTA,39297.0
502.0,24821.0,,ACRA,46019.0
31754.0,31200.8,1014.2,ACTON,72286.5
10321.0,31463.0,649.0,ACUSHNET,66276.0
90892.0,26668.3,765.0,ACWORTH,63898.0
61060.0,28866.8,624.2,ADA,60361.5
684.0,17340.0,,ADAH,44342.0
4642.0,22204.0,384.5,ADAIR,48198.0
16596.0,18695.0,522.0,ADAIRSVILLE,44600.0
2582.0,17344.0,427.0,ADAIRVILLE,32052.0
108.0,34871.0,294.0,ADAK,88750.0
256.0,23354.0,,ADAMANT,52500.0
26400.0,26769.0,481.8,ADAMS,51652.6
3118.0,25348.0,686.0,ADAMS CENTER,63071.0
1535.0,16648.0,638.0,ADAMS RUN,31607.0
526.0,25697.0,738.0,ADAMSBURG,39973.0
5805.0,33740.5,1051.0,ADAMSTOWN,73526.5
15685.0,20066.5,412.0,ADAMSVILLE,39221.0
