Year,2013,2015,2016,2017
New York Knicks,5.8,4.7,4.2,5.4
Brooklyn Nets,1.6,1.8,0.9,1.4
Los Angeles Lakers,9.3,10.2,10.2,7.1
Los Angeles Clippers,1.2,2.4,1.1,1.3
Chicago Bulls,10.4,10.9,11,9.6
Toronto Raptors,0.1,0.1,0.4,0.2
Philadelphia 76ers,2.1,2.4,2.3,2.2
Dallas Mavericks,4.8,4.3,2.9,3.1
Washington Wizards,0.7,0.5,0.9,1.9
Houston Rockets,3,2.9,2.5,2.9
Golden State Warriors,1.6,4.8,12.4,13.1
Atlanta Hawks,1.8,2.1,1.5,1.4
Boston Celtics,11.3,8.4,5.9,8.1
Phoenix Suns,1.5,1.6,1.2,1.8
Detroit Pistons,2.7,2.8,1.9,2.6
Minnesota Timberwolves,2.3,1.6,2,1.4
Miami Heat,10.4,5.6,3.5,2.8
Denver Nuggets,1.6,1.9,1.6,0.8
Orlando Magic,1.4,1,1.3,0.9
Cleveland Cavaliers,1.7,7,9.8,8.6
Sacramento Kings,0.5,1.1,0.8,1.1
Portland Trail Blazers,2.2,2,1.6,1.8
Charlotte Hornets,1.4,1.9,1.5,1.7
Indiana Pacers,1.7,1.3,1.6,1.7
Utah Jazz,1.2,1.2,1.2,1
San Antonio Spurs,5.1,4.2,4.3,3.8
Milwaukee Bucks,1,1.4,1.4,1.8
Oklahoma City Thunder,2.2,1.6,1.9,1.9
Memphis Grizzlies,0.7,0.7,0.5,0.5
New Orleans Pelicans,0.5,1.3,0.6,0.8
