Type	D	M	Y	Season	Winning League	Winning Team	Losing League	Losing Team	Winner Score	Loser Score	OT	Country	City	Attend.
Regular Season	1	1	2007	(2006-07)	NBA	Boston Celtics	NBA	Portland Trail Blazers	89	81				
Regular Season	1	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Charlotte Hornets	102	96				
Regular Season	2	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	San Antonio Spurs	82	78				
Regular Season	2	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Oklahoma City Thunder	112	88				
Regular Season	2	1	2007	(2006-07)	NBA	Golden State Warriors	NBA	New Orleans Pelicans	97	89				
Regular Season	2	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Los Angeles Clippers	91	86				
Regular Season	2	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Denver Nuggets (2)	108	97				
Regular Season	2	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Chicago Bulls	97	96				
Regular Season	2	1	2007	(2006-07)	NBA	Sacramento Kings	NBA	New York Knicks	112	100				
Regular Season	3	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Boston Celtics	107	104				
Regular Season	3	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Oklahoma City Thunder	103	96				
Regular Season	3	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Miami Heat	110	95				
Regular Season	3	1	2007	(2006-07)	NBA	Memphis Grizzlies	NBA	Golden State Warriors	144	135				
Regular Season	3	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	San Antonio Spurs	103	101	#			
Regular Season	3	1	2007	(2006-07)	NBA	New York Knicks	NBA	Portland Trail Blazers	99	81				
Regular Season	3	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Toronto Raptors	100	98				
Regular Season	3	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Philadelphia 76ers	98	87				
Regular Season	3	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Milwaukee Bucks	108	105				
Regular Season	4	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Indiana Pacers	100	91				
Regular Season	4	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	New Orleans Pelicans	92	68				
Regular Season	4	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Sacramento Kings	132	128	#			
Regular Season	5	1	2007	(2006-07)	NBA	Boston Celtics	NBA	Memphis Grizzlies	128	119				
Regular Season	5	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Milwaukee Bucks	95	86				
Regular Season	5	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	San Antonio Spurs	90	85				
Regular Season	5	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Utah Jazz	100	86				
Regular Season	5	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Denver Nuggets (2)	123	104				
Regular Season	5	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Philadelphia 76ers	104	102	#			
Regular Season	5	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Chicago Bulls	91	86				
Regular Season	5	1	2007	(2006-07)	NBA	New York Knicks	NBA	Oklahoma City Thunder	111	93				
Regular Season	5	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Charlotte Hornets	106	74				
Regular Season	5	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Miami Heat	108	80				
Regular Season	5	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Atlanta Hawks	105	92				
Regular Season	5	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Los Angeles Clippers	116	105				
Regular Season	6	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Los Angeles Clippers	86	74				
Regular Season	6	1	2007	(2006-07)	NBA	Chicago Bulls	NBA	Detroit Pistons	106	89				
Regular Season	6	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Brooklyn Nets	96	91				
Regular Season	6	1	2007	(2006-07)	NBA	Golden State Warriors	NBA	Oklahoma City Thunder	108	104				
Regular Season	6	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	New Orleans Pelicans	100	93				
Regular Season	6	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Sacramento Kings	110	105	#			
Regular Season	6	1	2007	(2006-07)	NBA	Utah Jazz	NBA	Denver Nuggets (2)	96	84				
Regular Season	7	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Dallas Mavericks	101	98				
Regular Season	7	1	2007	(2006-07)	NBA	Miami Heat	NBA	Portland Trail Blazers	93	90				
Regular Season	7	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Houston Rockets	103	99	#			
Regular Season	7	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Boston Celtics	87	79				
Regular Season	7	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Golden State Warriors	128	105				
Regular Season	7	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Memphis Grizzlies	110	96				
Regular Season	7	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Washington Wizards	116	111				
Regular Season	8	1	2007	(2006-07)	NBA	Denver Nuggets (2)	NBA	Milwaukee Bucks	104	92				
Regular Season	8	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Chicago Bulls	84	77				
Regular Season	8	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	New Orleans Pelicans	100	90				
Regular Season	9	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Sacramento Kings	108	98				
Regular Season	9	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Utah Jazz	108	105				
Regular Season	9	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Philadelphia 76ers	98	89				
Regular Season	9	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Atlanta Hawks	91	72				
Regular Season	9	1	2007	(2006-07)	NBA	Memphis Grizzlies	NBA	Los Angeles Lakers	128	118				
Regular Season	9	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Toronto Raptors	101	86				
Regular Season	9	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Oklahoma City Thunder	113	102				
Regular Season	9	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Portland Trail Blazers	98	84				
Regular Season	10	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Detroit Pistons	103	96				
Regular Season	10	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Portland Trail Blazers	99	74				
Regular Season	10	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Los Angeles Lakers	102	77				
Regular Season	10	1	2007	(2006-07)	NBA	Indiana Pacers	NBA	Boston Celtics	97	84				
Regular Season	10	1	2007	(2006-07)	NBA	Los Angeles Clippers	NBA	Minnesota Timberwolves	92	91				
Regular Season	10	1	2007	(2006-07)	NBA	Miami Heat	NBA	Oklahoma City Thunder	107	103				
Regular Season	10	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Atlanta Hawks	96	77				
Regular Season	10	1	2007	(2006-07)	NBA	New York Knicks	NBA	Philadelphia 76ers	106	99				
Regular Season	10	1	2007	(2006-07)	NBA	Orlando Magic	NBA	Golden State Warriors	91	76				
Regular Season	10	1	2007	(2006-07)	NBA	San Antonio Spurs	NBA	Denver Nuggets (2)	92	83				
Regular Season	10	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Milwaukee Bucks	90	77				
Regular Season	10	1	2007	(2006-07)	NBA	Washington Wizards	NBA	Chicago Bulls	113	103				
Regular Season	11	1	2007	(2006-07)	NBA	Brooklyn Nets	NBA	Chicago Bulls	86	83				
Regular Season	11	1	2007	(2006-07)	NBA	Phoenix Suns	NBA	Cleveland Cavaliers	109	90				
Regular Season	12	1	2007	(2006-07)	NBA	Atlanta Hawks	NBA	Detroit Pistons	99	93				
Regular Season	12	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	New York Knicks	126	110				
Regular Season	12	1	2007	(2006-07)	NBA	Dallas Mavericks	NBA	Indiana Pacers	115	113	#			
Regular Season	12	1	2007	(2006-07)	NBA	Houston Rockets	NBA	Denver Nuggets (2)	90	86				
Regular Season	12	1	2007	(2006-07)	NBA	Los Angeles Lakers	NBA	Orlando Magic	109	106				
Regular Season	12	1	2007	(2006-07)	NBA	Miami Heat	NBA	Golden State Warriors	118	96				
Regular Season	12	1	2007	(2006-07)	NBA	Minnesota Timberwolves	NBA	Memphis Grizzlies	116	110				
Regular Season	12	1	2007	(2006-07)	NBA	New Orleans Pelicans	NBA	Washington Wizards	104	97				
Regular Season	12	1	2007	(2006-07)	NBA	Philadelphia 76ers	NBA	Milwaukee Bucks	110	97				
Regular Season	12	1	2007	(2006-07)	NBA	Portland Trail Blazers	NBA	Sacramento Kings	95	87				
Regular Season	12	1	2007	(2006-07)	NBA	Oklahoma City Thunder	NBA	Utah Jazz	122	114	#			
Regular Season	12	1	2007	(2006-07)	NBA	Toronto Raptors	NBA	Boston Celtics	95	86				
Regular Season	13	1	2007	(2006-07)	NBA	Charlotte Hornets	NBA	Philadelphia 76ers	89	83				
Regular Season	13	1	2007	(2006-07)	NBA	Chicago Bulls	NBA	Memphis Grizzlies	111	66				
Regular Season	13	1	2007	(2006-07)	NBA	Cleveland Cavaliers	NBA	Los Angeles Clippers	104	92				
Regular Season	13	1	2007	(2006-07)	NBA	Detroit Pistons	NBA	Boston Celtics	81	73				
