Population,Median Household Income,Per Capita Income,Average Rent,Zipcode,City,State
18450.0,12041.0,7380.0,285.0,00601,ADJUNTAS,PR
41302.0,15663.0,8463.0,319.0,00602,AGUADA,PR
53683.0,15485.0,9176.0,252.0,00603,AGUADILLA,PR
6591.0,15019.0,6383.0,230.0,00606,MARICAO,PR
28963.0,16707.0,7892.0,334.0,00610,ANASCO,PR
68055.0,17848.0,10188.0,315.0,00612,ARECIBO,PR
10183.0,15342.0,8767.0,285.0,00616,BAJADERO,PR
24879.0,14982.0,7939.0,338.0,00617,BARCELONETA,PR
6165.0,14281.0,8751.0,400.0,00622,BOQUERON,PR
44704.0,17389.0,9326.0,319.0,00623,CABO ROJO,PR
25340.0,14768.0,6761.0,270.0,00624,PENUELAS,PR
34806.0,19527.0,9112.0,303.0,00627,CAMUY,PR
1747.0,11596.0,6561.0,202.0,00631,CASTANER,PR
24996.0,16430.0,8045.0,266.0,00637,SABANA GRANDE,PR
18742.0,13860.0,6526.0,273.0,00638,CIALES,PR
30401.0,14924.0,7479.0,282.0,00641,UTUADO,PR
38303.0,28306.0,14374.0,564.0,00646,DORADO,PR
5640.0,13925.0,7384.0,355.0,00647,ENSENADA,PR
14969.0,16133.0,7038.0,311.0,00650,FLORIDA,PR
3461.0,12809.0,9406.0,308.0,00652,GARROCHALES,PR
13461.0,12595.0,6465.0,226.0,00653,GUANICA,PR
21172.0,15054.0,7534.0,252.0,00656,GUAYANILLA,PR
41932.0,19199.0,9428.0,319.0,00659,HATILLO,PR
17151.0,21107.0,10609.0,346.0,00660,HORMIGUEROS,PR
43535.0,15600.0,8124.0,340.0,00662,ISABELA,PR
16508.0,19342.0,7841.0,304.0,00664,JAYUYA,PR
25797.0,14081.0,6763.0,324.0,00667,LAJAS,PR
28984.0,11790.0,6600.0,292.0,00669,LARES,PR
9689.0,15817.0,7016.0,215.0,00670,LAS MARIAS,PR
43848.0,18048.0,9838.0,335.0,00674,MANATI,PR
39916.0,14697.0,7700.0,313.0,00676,MOCA,PR
15108.0,15875.0,8986.0,343.0,00677,RINCON,PR
27229.0,14877.0,7274.0,271.0,00678,QUEBRADILLAS,PR
56003.0,15115.0,8745.0,309.0,00680,MAYAGUEZ,PR
32509.0,15067.0,10869.0,264.0,00682,MAYAGUEZ,PR
33442.0,15587.0,9178.0,260.0,00683,SAN GERMAN,PR
41947.0,14623.0,7192.0,269.0,00685,SAN SEBASTIAN,PR
32609.0,14797.0,7060.0,298.0,00687,MOROVIS,PR
13340.0,14148.0,6757.0,363.0,00688,SABANA HOYOS,PR
6299.0,19474.0,9251.0,394.0,00690,SAN ANTONIO,PR
37618.0,18500.0,9273.0,385.0,00692,VEGA ALTA,PR
60211.0,16406.0,9051.0,402.0,00693,VEGA BAJA,PR
157.0,10750.0,7616.0,,00694,VEGA BAJA,PR
41179.0,15099.0,7491.0,270.0,00698,YAUCO,PR
29153.0,14673.0,7734.0,342.0,00703,AGUAS BUENAS,PR
7867.0,12612.0,7229.0,288.0,00704,AGUIRRE,PR
25373.0,15892.0,8868.0,266.0,00705,AIBONITO,PR
12070.0,18446.0,8134.0,261.0,00707,MAUNABO,PR
19443.0,16350.0,8208.0,313.0,00714,ARROYO,PR
4315.0,14114.0,10149.0,238.0,00715,MERCEDITA,PR
32180.0,18878.0,11773.0,260.0,00716,PONCE,PR
17972.0,12407.0,9120.0,297.0,00717,PONCE,PR
26767.0,17123.0,9038.0,347.0,00718,NAGUABO,PR
30793.0,16672.0,8819.0,336.0,00719,NARANJITO,PR
23080.0,14903.0,6687.0,230.0,00720,OROCOVIS,PR
19017.0,14506.0,7851.0,261.0,00723,PATILLAS,PR
90206.0,20926.0,11273.0,364.0,00725,CAGUAS,PR
56972.0,29433.0,15088.0,528.0,00727,CAGUAS,PR
